,index,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force
103,245,0,2.0,52.0,93.0,114.6054131054131,2200.0,
104,246,1,3.0050420168067227,17.9,14.8,114.6054131054131,229.7,
105,249,1,3.0050420168067227,45.51390243902439,13.0,114.6054131054131,262.5,
106,250,1,2.0,31.1,68.9,114.6054131054131,1437.0,4.0
107,253,1,2.0,46.0,70.0,62.0,1250.0,
108,259,1,3.0050420168067227,49.7,82.0,101.7,2427.8,3.5
109,260,1,3.0050420168067227,45.51390243902439,49.3,114.6054131054131,2001.7804232804233,2.5
110,262,0,1.0,48.0,87.93446200150488,87.0,2575.0,
111,263,1,3.0,47.0,116.5,114.6054131054131,935.0,5.2
112,264,1,1.0,62.0,150.0,114.6054131054131,863.0,
113,265,1,1.0,55.0,113.0,114.6054131054131,3457.0,4.9
114,266,1,3.0050420168067227,42.0,70.0,64.0,3100.0,
115,268,0,2.0,40.0,75.0,68.0,2400.0,
116,270,1,3.0050420168067227,38.0,51.0,46.0,1544.0,3.0
117,271,1,3.0050420168067227,21.7,27.9,114.6054131054131,679.2,
118,272,1,3.0050420168067227,91.0,287.0,300.0,5321.0,
119,276,1,3.0050420168067227,22.4,26.3,114.6054131054131,1181.1,
120,277,1,3.0050420168067227,70.0,200.0,175.0,4480.0,
121,280,1,3.0050420168067227,46.6,63.3,114.6054131054131,1486.3,3.5
122,285,1,3.0050420168067227,37.3,55.8,114.6054131054131,1181.1,
123,286,0,3.0050420168067227,35.0,86.0,114.6054131054131,1900.0,
124,290,1,3.0050420168067227,24.2,29.5,114.6054131054131,728.3,
125,296,1,3.0050420168067227,43.5,77.1,114.6054131054131,2427.8,
126,300,1,3.0050420168067227,68.0,65.0,180.0,1222.0,4.5
127,301,1,3.0050420168067227,45.51390243902439,47.6,114.6054131054131,1183.4,
128,302,1,2.0,52.8,105.0,114.6054131054131,2913.4,
129,304,1,3.0050420168067227,34.2,55.8,114.6054131054131,1312.3,
130,307,0,3.0050420168067227,45.51390243902439,55.0,114.6054131054131,1700.0,
131,311,1,3.0,65.6,191.0,177.0,1204.0,4.5
132,317,0,3.0050420168067227,57.0,110.0,114.6054131054131,4000.0,
133,318,1,2.0,37.3,64.0,114.6054131054131,1148.3,
134,320,1,3.0050420168067227,51.2,102.3,84.9,3074.0,
135,321,1,3.0,65.2,154.2,164.0,2296.6,
136,323,0,1.0,57.0,137.8,114.6054131054131,863.0,
137,325,1,5.0,49.7,109.3,114.6054131054131,2260.5,
138,327,1,2.0,49.7,97.4,114.6054131054131,1837.3,
139,330,0,3.0050420168067227,45.51390243902439,14.4,114.6054131054131,459.3,
140,335,1,3.0,43.5,75.5,114.6054131054131,1624.0,
141,342,1,1.0,45.0,63.0,114.6054131054131,1775.0,
142,343,0,3.0050420168067227,29.1,42.7,114.6054131054131,1377.9,2.5
143,344,1,5.0,55.9,111.6,114.6054131054131,2447.5,3.5
144,351,1,3.0050420168067227,37.3,50.9,114.6054131054131,1410.8,
145,354,1,1.0,45.51390243902439,36.1,114.6054131054131,1197.5,
146,357,0,3.0050420168067227,43.5,85.3,114.6054131054131,2139.1,3.0
147,360,1,3.0050420168067227,68.3,87.93446200150488,179.0,1250.0,5.0
148,363,0,1.0,50.0,131.0,114.6054131054131,2001.7804232804233,
