,Name,Park,Location,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force,Layout,Manufacturer
100,Round About,Freestyle Music Park,"Myrtle Beach, South Carolina, United States",Defunct,,,,,,,,Premier Rides
101,Fort d'Odin,Parc du Bocasse,"Bocasse, Normandy, France",Operating,,,,,,,,Soquet
102,Dragon Coaster,Castle Fun Center,"Chester, New York, United States",Operating,,,,,,,Single Helix (center),E&F Miler Industries
103,Beluga,Hasunuma Kaihin Park,"Chiba, Chiba, Japan",SBNO,,18.6,19.7,,803.8,,,"Hoei Sangyo Co., Ltd."
104,Rabalder,Liseberg,"Gothenburg, Västra Götaland, Sweden",Operating,,24.2,29.5,,728.3,,,Zierer
105,TRON Lightcycle Power Run,Shanghai Disneyland,"Pudong, Shanghai, China",Operating,,59.3,78.1,,3169.3,,,Vekoma
106,Fluch von Novgorod,Hansa Park,"Sierksdorf, Schleswig-Holstein, Germany",Operating,1.0,62.1,131.2,,2296.6,,,Gerstlauer Amusement Rides GmbH
107,Rougarou,Cedar Point,"Sandusky, Ohio, United States",Operating,4.0,60.0,145.0,137.0,3900.0,,,Bolliger & Mabillard
108,Crazy Skaters,Shengming Universal City,"Yubei, Chongqing, China",Operating,,,,,,,,"Beijing Jiuhua Amusement Rides Manufacturing Co., Ltd."
109,Condor,Walibi Holland,"Biddinghuizen, Flevoland, Netherlands",Operating,5.0,49.7,101.7,,2171.9,,,Vekoma
110,Jungle Squirrels,Chuanlord Holiday Manor,"Shunde, Foshan, Guangdong, China",Operating,,,,,,,,Guohui Machinery
111,Hair Raiser,Ocean Park,"Hong Kong Island, Hong Kong, China",Operating,4.0,54.7,114.8,,2788.8,4.0,,Bolliger & Mabillard
112,Butterfly,Freizeitpark Lochmühle,"Wehrheim, Hesse, Germany",Operating,,,20.0,,,,U Shuttle,Sunkid Heege GmbH
113,Azteka,Le Pal,"Dompierre Sur Besbre, Auvergne-Rhône-Alpes, France",Operating,,34.2,55.8,,1640.4,,Terrain,Soquet
114,Rapidly Train,Atayal Resort,"Ren-Ai Xiang, Nantou County, Taiwan",Defunct,,,,,,,U Shuttle,Barbieri Rides
115,Pop Spin Coaster,Iwayama Park Land,"Morioka, Iwate, Japan",Operating,,34.5,,,1404.2,,,"Hoei Sangyo Co., Ltd."
116,Ejderha Uçuşu,Wonderland Eurasia,"Ankara, Ankara, Turkey",Operating,,,,,,,,Zierer
117,Wild Mouse,West Point Park,"West Point, Pennsylvania, United States",Defunct,,,,,,,Wild Mouse,B. A. Schiff & Associates
118,OCT Thrust SSC1000,Happy Valley,"Hongshan, Wuhan, Hubei, China",Operating,,83.0,196.8,221.2,,4.5,,S&S Sansei Technologies
119,Golden Dragon Roller Coaster,Nanhu Park,"Shenyang, Liaoning, China",Operating,,,,,,,,"Zhongshan Playground Equipment Engineering Co., Ltd."
120,Grand Huit,Hannibal Park,"Sousse, Sousse, Tunisia",Operating,1.0,,33.0,,656.2,,,Interpark
121,Big Apple,Botton's Pleasure Beach,"Skegness, Lincolnshire, England, United Kingdom",Operating,,,,,,,Big Apple / Wacky Worm,Pinfari
122,Flight of the Phoenix,Harborland,"Beilun, Ningbo, Zhejiang, China",Defunct,8.0,49.7,101.7,,2723.1,,,Intamin Amusement Rides
123,Stampida,PortAventura Park,"Salou, Tarragona, Catalonia, Spain",Operating,,46.0,84.0,,3127.0,,,"Custom Coasters International, Inc."
124,Dream Catcher,Bobbejaanland,"Lichtaart, Antwerp, Flemish Region, Belgium",Operating,,,82.0,,1968.5,,,Vekoma
125,Family Train,Hawally Park,"Hawally, Hawalli, Kuwait",Operating,,,13.0,,262.5,,Single Helix (center),Zamperla
126,Roller Coaster,MGM Dizzee World,"Muttukadu, Tamil Nadu, India",Operating,2.0,,70.0,,1250.0,,,Arrow Dynamics
127,Dueling Dragons,Guangzhou Sunac Land,"Huadu, Guangzhou, Guangdong, China",Operating,,,183.7,,2723.1,,,Intamin Amusement Rides
128,Black Hole,Avonturenpark Hellendoorn,"Hellendoorn, Overijssel, Netherlands",Defunct,,,,,,,,Schwarzkopf
129,Cliffhanger,Glenwood Caverns Adventure Park,"Glenwood Springs, Colorado, United States",Operating,,,60.0,,,,,S&MC
130,Thunderbolt,Kennywood,"West Mifflin, Pennsylvania, United States",Operating,,55.0,70.0,90.0,3250.0,,Terrain,
131,Dragon Coaster,Playland Park,"Rye, New York, United States",Operating,,,80.0,,3400.0,,,
132,Montaña Rusa,La Feria Chapultepec Magico,"Mexico City, Mexico",Operating,,52.8,110.0,80.0,4000.0,,,National Amusement Device Company
